interval	P	pl	cpx	ol	sp	opx	g
0.05	0.001	0.3512927333	0.235859419	-0.1397981315	0.0014419179	0.5512040613	NA
0.05	1.001	0.3892032145	0.256265491	-0.0700725952	0.0021662442	0.4224376454	NA
0.01	2.001	0.4234431722	0.2636532959	-0.0099868673	0.0033106465	0.3195797526	NA
0.05	3	0.4602523028	0.2824389267	0.0460552663	NA	0.2112535042	NA
0.05	4	0.4999001199	0.2843587695	0.0988813424	NA	0.1168597683	NA
0.05	5	0.543793069	0.2804354339	0.1498052532	NA	0.0259662439	NA
0.05	6	0.593637455	0.2693077231	0.1990796319	NA	-0.0620248099	NA
0.05	7	0.6501349865	0.2478752125	0.2499750025	NA	-0.1479852015	NA
0.05	8	0.7171131547	0.2149140344	0.3038784486	NA	-0.2359056377	NA
0.04	9.001	0.8798551268	0.0799300612	0.4521044086	-0.0522043212	-0.3596852754	NA
0.01	10.001	0.9738377943	0.0100623868	0.5131817267	-0.0643992755	-0.4326826323	NA
0.05	11	NA	1.0592287053	-0.2402787233	0.201073245	-0.0200232269	NA
0.05	12	NA	1.0811999121	-0.2178387993	0.194595999	-0.0579571117	NA
0.05	13	NA	1.1051051051	-0.2002002002	0.1891891892	-0.0940940941	NA
0.05	14	NA	1.1288446886	-0.1824597987	0.1839435377	-0.1303284276	NA
0.05	15	NA	1.1475409836	-0.1639344262	0.1783286685	-0.1619352259	NA
0.05	16	NA	1.1706555671	-0.1480829264	0.1735371808	-0.1961098215	NA
0.05	17	NA	1.1909519623	-0.1318839421	0.1687315163	-0.2277995364	NA
0.05	18	NA	1.2133205405	-0.117933957	0.164467898	-0.2598544815	NA
0.05	19	NA	1.2334079642	-0.103950104	0.1604030066	-0.2898608668	NA
0.05	20	NA	1.2532230017	-0.0899442346	0.1565229558	-0.3198017229	NA
0.05	21	NA	1.2732936664	-0.0780793286	0.1531395898	-0.3483539276	NA
0.05	22	NA	1.148896139	0.0840655711	NA	-0.8786853746	0.6457236645
0.05	23	NA	1.1722344469	0.0900180036	NA	-0.8901780356	0.6279255851
0.05	24	NA	1.1916683357	0.0981373923	NA	-0.9012617665	0.6114560385
0.05	25	NA	1.2084168337	0.1062124248	NA	-0.9098196393	0.5951903808
0.05	26	NA	1.2182436487	0.1140228046	NA	-0.9101820364	0.5779155831
0.05	27	NA	1.224244849	0.1220244049	NA	-0.9081816363	0.5619123825
0.05	28	NA	1.2299679487	0.1282051282	NA	-0.9054487179	0.547275641
0.05	29	NA	1.2252648411	0.1359184489	NA	-0.8922646412	0.5310813512
0.05	30	NA	1.2182436487	0.1440288058	NA	-0.8791758352	0.5169033807
0.05	31	NA	1.2082416483	0.150030006	NA	-0.8605721144	0.5023004601
0.05	32	NA	1.1914297157	0.1581898278	NA	-0.8384060873	0.4887865439
0.05	33	NA	1.1736431003	0.1642299219	NA	-0.812737833	0.4748648107
0.05	34	NA	1.1524609844	0.1720688275	NA	-0.7855142057	0.4609843938
0.05	35	NA	1.130678407	0.1781068641	NA	-0.7568541125	0.4480688413
0.05	36	NA	1.1051159073	0.1858513189	NA	-0.7258193445	0.4348521183
0.05	37	NA	1.0808646918	0.192153723	NA	-0.6963570857	0.4233386709
0.05	38	NA	1.0535785686	0.199920032	NA	-0.6649340264	0.4114354258
0.05	39	NA	1.0286171703	0.2061236742	NA	-0.6351811087	0.4004402642
0.05	40	NA	1.003197442	0.2118305356	NA	-0.604716227	0.3896882494
0.05	41	NA	0.9780782463	0.2180174414	NA	-0.5763261061	0.3802304184
0.05	42	NA	0.4835164835	0.2237762238	NA	NA	0.2927072927
0.05	43	NA	0.4811547715	0.230553328	NA	NA	0.2882919006
0.05	44	NA	0.4783827062	0.2361889512	NA	NA	0.2854283427
0.05	45	NA	0.4753345317	0.2436588776	NA	NA	0.2810065908
0.05	46	NA	0.4718112755	0.24990004	NA	NA	0.2782886845
0.05	47	NA	0.4679064187	0.2559488102	NA	NA	0.276144771
0.05	48	NA	0.4657205677	0.2618428943	NA	NA	0.2724365381
0.05	49	NA	0.4621848739	0.2681072429	NA	NA	0.2697078832
0.05	50	NA	0.4583666934	0.2742193755	NA	NA	0.2674139311
0.05	51	NA	0.454	0.28	NA	NA	0.266
0.05	52	NA	0.452	0.286	NA	NA	0.262
0.05	53	NA	0.448	0.292	NA	NA	0.26
0.05	54	NA	0.444	0.298	NA	NA	0.258
0.05	55	NA	0.44	0.304	NA	NA	0.256
0.05	56	NA	0.438	0.308	NA	NA	0.254
0.05	57	NA	0.432	0.314	NA	NA	0.254
0.05	58	NA	0.4291417166	0.3193612774	NA	NA	0.251497006
0.05	59	NA	0.426	0.324	NA	NA	0.25
0.05	60	NA	0.424	0.33	NA	NA	0.246
